lev,stop,ann_ret,mdd,sharpe,wf_pass,boot_pass,avg_pass_d,avg_fail_d,e_days,e_cost
1.5,无,0.27270524811927865,0.056715683702545,2.6033775169249482,0.33488372093023255,0.4873,38.276523702031604,29.87829139847864,69.71218961625281,282.53745126205627
1.5,2.0%,0.2634783679511148,0.05669883250164299,2.476970067847632,0.3116883116883117,0.4585,37.72748091603054,29.076084949215144,72.06706652126499,301.22682660850603
1.5,1.5%,0.23141631449183375,0.0644398495785229,2.127142812162482,0.3116883116883117,0.40285,37.4357701377684,28.408188897261994,79.54561251086014,344.910636713417
1.5,1.0%,0.18319115314656798,0.08830231668209865,1.6440216671531878,0.24242424242424243,0.3399,37.42777287437482,28.14050901378579,92.07781700500146,411.56663724624894
2.0,无,0.3760316418898155,0.07505624760288068,2.749509943965791,0.2665198237885463,0.37235,27.988854572311,21.08213176133195,63.5258493353028,374.3917013562509
2.0,2.0%,0.3169637599547337,0.08540288683611871,2.239584811604218,0.23809523809523808,0.2972,26.750168236877524,19.35372794536141,72.51665545087482,472.85329744279943
2.0,1.5%,0.26860261843729405,0.11655461763661293,1.8862951665028982,0.16666666666666666,0.27435,26.719883360670675,19.029352993867565,77.0521232002916,513.4855112083106
2.0,1.0%,0.1580670269102038,0.16200753051082575,1.086395719251018,0.14908256880733944,0.1998,27.08158158158158,19.289052736815798,104.33433433433433,710.6756756756757
3.0,无,0.6033056150038967,0.1111976319359671,2.9992511480644835,0.13852813852813853,0.23495,19.228559267929345,12.844650676426378,61.05362843158119,602.1100234092361
3.0,2.0%,0.38584138419734737,0.17182715178284858,1.8412193675473016,0.09523809523809523,0.15625,17.33568,11.425777777777778,79.03488,912.9360000000001
3.0,1.5%,0.2383176400499274,0.23566519277613757,1.1448999764129066,0.032467532467532464,0.12975,18.082080924855493,11.770583165756966,97.02890173410402,1102.4566473988439
3.0,1.0%,0.24363753901429774,0.21887627568868626,1.2278926697296524,0.07792207792207792,0.1253,19.490822027134875,12.991254144278038,110.18076616121309,1142.1428571428573
4.0,无,0.8596964955595521,0.1464471824599799,3.2337256929184774,0.08874458874458875,0.163,15.073006134969326,9.156750298685782,62.09263803680981,874.5092024539877
4.0,2.0%,0.31887914323794275,0.304504454308097,1.1751983222260038,0.03463203463203463,0.08715,13.464142283419392,8.206277044421318,99.42053930005737,1648.6833046471602
4.0,1.5%,0.32041783594688256,0.2821022197729432,1.2222744757969672,0.0367965367965368,0.0919,14.971164309031556,9.136658958264508,105.25408052230686,1562.6931447225247
4.0,1.0%,0.319029221626441,0.24361225722926125,1.2904032662396783,0.05411255411255411,0.07685,15.851008458035134,10.316633266533065,139.77813923227063,1871.6623292127522
